,loss,timestamp,checkpoint_dir_name,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/embedding_type,config/hidden_size,config/num_layers,config/learning_rate,config/batch_size,logdir
0,0.23988394439220428,1706182100,,False,5,d3b6f_00000,2024-01-25_11-28-20,0.21226787567138672,2.5455410480499268,30983,2a36f66286f0,172.28.0.12,2.5455410480499268,5,gpt,50,2,0.01,32,d3b6f_00000
1,0.22759631276130676,1706182107,,False,5,d3b6f_00001,2024-01-25_11-28-27,0.14034104347229004,2.204078435897827,31063,2a36f66286f0,172.28.0.12,2.204078435897827,5,gpt,50,2,0.01,64,d3b6f_00001
2,0.2845609982808431,1706182114,,False,5,d3b6f_00002,2024-01-25_11-28-34,0.13318443298339844,2.132187604904175,31141,2a36f66286f0,172.28.0.12,2.132187604904175,5,gpt,50,2,0.01,128,d3b6f_00002
3,0.26214025576006283,1706182120,,False,5,d3b6f_00003,2024-01-25_11-28-40,0.17371702194213867,2.357196569442749,31217,2a36f66286f0,172.28.0.12,2.357196569442749,5,bert,50,2,0.01,32,d3b6f_00003
4,0.32722605764865875,1706182127,,False,5,d3b6f_00004,2024-01-25_11-28-47,0.13767504692077637,2.13507342338562,31299,2a36f66286f0,172.28.0.12,2.13507342338562,5,bert,50,2,0.01,64,d3b6f_00004
5,0.3491908212502797,1706182134,,False,5,d3b6f_00005,2024-01-25_11-28-54,0.09512162208557129,1.9700708389282227,31377,2a36f66286f0,172.28.0.12,1.9700708389282227,5,bert,50,2,0.01,128,d3b6f_00005
6,0.3171150034124201,1706182140,,False,5,d3b6f_00006,2024-01-25_11-29-00,0.1767714023590088,2.429572582244873,31453,2a36f66286f0,172.28.0.12,2.429572582244873,5,tfidf,50,2,0.01,32,d3b6f_00006
7,0.2836987127860387,1706182147,,False,5,d3b6f_00007,2024-01-25_11-29-07,0.1257944107055664,2.1441168785095215,31531,2a36f66286f0,172.28.0.12,2.1441168785095215,5,tfidf,50,2,0.01,64,d3b6f_00007
8,0.28863831361134845,1706182154,,False,5,d3b6f_00008,2024-01-25_11-29-14,0.09769940376281738,1.9764599800109863,31611,2a36f66286f0,172.28.0.12,1.9764599800109863,5,tfidf,50,2,0.01,128,d3b6f_00008
9,0.2864337394183332,1706182160,,False,5,d3b6f_00009,2024-01-25_11-29-20,0.153486967086792,2.5504164695739746,31687,2a36f66286f0,172.28.0.12,2.5504164695739746,5,glove,50,2,0.01,32,d3b6f_00009
10,0.3382576157649358,1706182167,,False,5,d3b6f_00010,2024-01-25_11-29-27,0.09896159172058105,1.958305835723877,31765,2a36f66286f0,172.28.0.12,1.958305835723877,5,glove,50,2,0.01,64,d3b6f_00010
11,0.22916420797506967,1706182172,,False,5,d3b6f_00011,2024-01-25_11-29-32,0.07106351852416992,1.804788589477539,31839,2a36f66286f0,172.28.0.12,1.804788589477539,5,glove,50,2,0.01,128,d3b6f_00011
12,0.24453400447964668,1706182179,,False,5,d3b6f_00012,2024-01-25_11-29-39,0.14852333068847656,2.488779306411743,31912,2a36f66286f0,172.28.0.12,2.488779306411743,5,word2vec,50,2,0.01,32,d3b6f_00012
13,0.2917682056625684,1706182186,,False,5,d3b6f_00013,2024-01-25_11-29-46,0.0958702564239502,1.9777469635009766,31992,2a36f66286f0,172.28.0.12,1.9777469635009766,5,word2vec,50,2,0.01,64,d3b6f_00013
14,0.29657591382662457,1706182191,,False,5,d3b6f_00014,2024-01-25_11-29-51,0.06887221336364746,1.767117977142334,32066,2a36f66286f0,172.28.0.12,1.767117977142334,5,word2vec,50,2,0.01,128,d3b6f_00014
15,0.30320261080156674,1706182198,,False,5,d3b6f_00015,2024-01-25_11-29-58,0.15569043159484863,2.501995801925659,32139,2a36f66286f0,172.28.0.12,2.501995801925659,5,fasttext,50,2,0.01,32,d3b6f_00015
16,0.28606031586726505,1706182205,,False,5,d3b6f_00016,2024-01-25_11-30-05,0.09212613105773926,1.9124555587768555,32217,2a36f66286f0,172.28.0.12,1.9124555587768555,5,fasttext,50,2,0.01,64,d3b6f_00016
17,0.3211492697397868,1706182211,,False,5,d3b6f_00017,2024-01-25_11-30-11,0.07100415229797363,1.8538260459899902,32291,2a36f66286f0,172.28.0.12,1.8538260459899902,5,fasttext,50,2,0.01,128,d3b6f_00017
18,0.3730384419587525,1706182217,,False,5,d3b6f_00018,2024-01-25_11-30-17,0.19364666938781738,2.4925787448883057,32369,2a36f66286f0,172.28.0.12,2.4925787448883057,5,gpt,100,2,0.01,32,d3b6f_00018
19,0.3486264745394389,1706182224,,False,5,d3b6f_00019,2024-01-25_11-30-24,0.14202475547790527,2.2445743083953857,32447,2a36f66286f0,172.28.0.12,2.2445743083953857,5,gpt,100,2,0.01,64,d3b6f_00019
20,0.2874251455068588,1706182231,,False,5,d3b6f_00020,2024-01-25_11-30-31,0.11581563949584961,2.033081531524658,32525,2a36f66286f0,172.28.0.12,2.033081531524658,5,gpt,100,2,0.01,128,d3b6f_00020
21,0.30353542823683133,1706182237,,False,5,d3b6f_00021,2024-01-25_11-30-37,0.17012691497802734,2.39597225189209,32599,2a36f66286f0,172.28.0.12,2.39597225189209,5,bert,100,2,0.01,32,d3b6f_00021
22,0.306537926197052,1706182244,,False,5,d3b6f_00022,2024-01-25_11-30-44,0.12274742126464844,2.096553087234497,32679,2a36f66286f0,172.28.0.12,2.096553087234497,5,bert,100,2,0.01,64,d3b6f_00022
