step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
251,5.66204,0.66667,,
252,0.0,1.0,,
253,0.0,1.0,,
254,0.0,1.0,,
255,0.0,1.0,,
256,0.0,1.0,,
257,0.0,1.0,,
258,0.0,1.0,,
259,0.0,1.0,,
260,7.97674,0.66667,,
261,0.0,1.0,,
262,0.0,1.0,,
263,0.0,1.0,,
264,0.0,1.0,,
265,0.0,1.0,,
266,0.0,1.0,,
267,7.46908,0.66667,,
268,0.0,1.0,,
269,0.0,1.0,,
270,0.0,1.0,,
271,0.0,1.0,,
272,0.0,1.0,,
273,0.0,1.0,,
274,0.0,1.0,,
275,0.0,1.0,,
276,0.0,1.0,,
277,0.0,1.0,,
278,0.0,1.0,,
279,0.0,1.0,,
280,0.0,1.0,,
281,0.0,1.0,,
282,6.0951,0.66667,,
283,0.0,1.0,,
284,0.0,1.0,,
285,0.0,1.0,,
286,0.0,1.0,,
287,0.0,1.0,,
288,0.0,1.0,,
289,0.0,1.0,,
290,0.0,1.0,,
291,0.0,1.0,,
292,0.0,1.0,,
293,0.0,1.0,,
294,0.0,1.0,,
295,0.0,1.0,,
296,0.0,1.0,,
297,0.0,1.0,,
298,0.0,1.0,,
299,0.0,1.0,,
300,0.0,1.0,,
301,0.0,1.0,-0.0,1.0
302,0.0,1.0,,
303,0.0,1.0,,
304,0.0,1.0,,
305,0.0,1.0,,
306,0.0,1.0,,
307,0.0,1.0,,
308,0.0,1.0,,
309,0.0,1.0,,
310,0.0,1.0,,
311,8.48536,0.66667,,
312,0.0,1.0,,
313,0.0,1.0,,
314,0.0,1.0,,
315,7.21596,0.66667,,
316,0.0,1.0,,
317,0.0,1.0,,
318,0.0,1.0,,
319,0.0,1.0,,
320,0.0,1.0,,
321,0.0,1.0,,
322,0.0,1.0,,
323,0.0,1.0,,
324,0.0,1.0,,
325,5.71716,0.66667,,
326,0.0,1.0,,
327,0.0,1.0,,
328,0.0,1.0,,
329,0.0,1.0,,
330,6.60601,0.66667,,
331,4.35264,0.66667,,
332,0.0,1.0,,
333,0.0,1.0,,
334,0.0,1.0,,
335,0.0,1.0,,
336,0.0,1.0,,
337,0.0,1.0,,
338,0.0,1.0,,
339,0.0,1.0,,
340,0.0,1.0,,
341,0.0,1.0,,
342,0.0,1.0,,
343,0.0,1.0,,
344,0.0,1.0,,
345,0.0,1.0,,
346,0.0,1.0,,
347,0.0,1.0,,
348,0.0,1.0,,
349,0.0,1.0,,
350,0.0,1.0,,
351,8.07679,0.66667,,
352,0.0,1.0,,
353,0.0,1.0,,
354,0.0,1.0,,
355,0.0,1.0,,
356,7.59773,0.66667,,
357,0.0,1.0,,
358,6.91973,0.66667,,
359,0.0,1.0,,
360,0.0,1.0,,
361,0.0,1.0,,
362,0.0,1.0,,
363,0.0,1.0,,
364,6.33072,0.66667,,
365,0.0,1.0,,
366,0.0,1.0,,
367,0.0,1.0,,
368,0.0,1.0,,
369,5.64318,0.66667,,
370,0.0,1.0,,
371,0.0,1.0,,
372,0.0,1.0,,
373,5.62115,0.66667,,
374,0.0,1.0,,
375,0.0,1.0,,
376,0.0,1.0,,
377,0.0,1.0,,
378,0.0,1.0,,
379,0.0,1.0,,
380,0.0,1.0,,
381,0.0,1.0,,
382,0.0,1.0,,
383,0.0,1.0,,
384,0.0,1.0,,
385,0.0,1.0,,
386,0.0,1.0,,
387,6.94783,0.66667,,
388,0.0,1.0,,
389,0.0,1.0,,
390,0.0,1.0,,
391,0.0,1.0,,
392,0.0,1.0,,
393,0.0,1.0,,
394,0.0,1.0,,
395,0.0,1.0,,
396,0.0,1.0,,
397,0.0,1.0,,
398,0.0,1.0,,
399,0.0,1.0,,
400,0.0,1.0,,
401,0.0,1.0,-0.0,1.0
402,0.0,1.0,,
403,0.0,1.0,,
404,0.0,1.0,,
405,0.0,1.0,,
406,0.0,1.0,,
407,0.0,1.0,,
408,0.0,1.0,,
409,0.0,1.0,,
410,0.0,1.0,,
411,0.0,1.0,,
412,0.0,1.0,,
413,8.44527,0.66667,,
414,0.0,1.0,,
415,0.0,1.0,,
416,0.0,1.0,,
417,0.0,1.0,,
418,0.0,1.0,,
419,0.0,1.0,,
420,0.0,1.0,,
421,0.0,1.0,,
422,6.57132,0.66667,,
423,0.0,1.0,,
424,0.0,1.0,,
425,0.0,1.0,,
426,5.72953,0.66667,,
427,0.0,1.0,,
428,0.0,1.0,,
429,0.0,1.0,,
430,0.0,1.0,,
431,0.0,1.0,,
432,0.0,1.0,,
433,0.0,1.0,,
434,0.0,1.0,,
435,0.0,1.0,,
436,0.0,1.0,,
437,0.0,1.0,,
438,0.0,1.0,,
439,0.0,1.0,,
440,0.0,1.0,,
441,0.0,1.0,,
442,0.0,1.0,,
443,7.64544,0.66667,,
444,0.0,1.0,,
445,0.0,1.0,,
446,0.0,1.0,,
447,0.0,1.0,,
448,0.0,1.0,,
449,0.0,1.0,,
450,0.0,1.0,,
451,0.0,1.0,,
452,0.0,1.0,,
453,0.0,1.0,,
454,6.95666,0.66667,,
455,0.0,1.0,,
456,0.0,1.0,,
457,0.0,1.0,,
458,0.0,1.0,,
459,0.0,1.0,,
460,0.0,1.0,,
461,6.41239,0.66667,,
462,0.0,1.0,,
463,0.0,1.0,,
464,0.0,1.0,,
465,0.0,1.0,,
466,0.0,1.0,,
467,0.0,1.0,,
468,0.0,1.0,,
469,0.0,1.0,,
470,0.0,1.0,,
471,0.0,1.0,,
472,0.0,1.0,,
473,0.0,1.0,,
474,0.0,1.0,,
475,0.0,1.0,,
476,0.0,1.0,,
477,0.0,1.0,,
478,0.0,1.0,,
479,0.0,1.0,,
480,0.0,1.0,,
481,9.84689,0.66667,,
482,0.0,1.0,,
483,0.0,1.0,,
484,0.0,1.0,,
485,0.0,1.0,,
486,0.0,1.0,,
487,0.0,1.0,,
488,0.0,1.0,,
489,0.0,1.0,,
490,0.0,1.0,,
491,6.17724,0.66667,,
492,0.0,1.0,,
493,0.0,1.0,,
494,0.0,1.0,,
495,0.0,1.0,,
496,0.0,1.0,,
497,0.0,1.0,,
498,0.0,1.0,,
499,0.0,1.0,,
500,0.0,1.0,,
501,0.0,1.0,-0.0,1.0
502,0.0,1.0,,
503,0.0,1.0,,
504,0.0,1.0,,
505,0.0,1.0,,
506,0.0,1.0,,
507,0.0,1.0,,
508,0.0,1.0,,
509,0.0,1.0,,
510,0.0,1.0,,
511,0.0,1.0,,
512,13.22478,0.66667,,
513,0.0,1.0,,
514,11.6334,0.66667,,
515,0.0,1.0,,
516,0.0,1.0,,
517,0.0,1.0,,
518,0.0,1.0,,
519,9.08,0.66667,,
520,0.0,1.0,,
521,0.0,1.0,,
522,0.0,1.0,,
523,0.0,1.0,,
524,0.0,1.0,,
525,0.0,1.0,,
526,6.81201,0.66667,,
527,0.0,1.0,,
528,0.0,1.0,,
529,0.0,1.0,,
530,0.0,1.0,,
531,0.0,1.0,,
532,0.0,1.0,,
533,0.0,1.0,,
534,0.0,1.0,,
535,6.60675,0.66667,,
536,0.0,1.0,,
537,0.0,1.0,,
538,0.0,1.0,,
539,0.0,1.0,,
540,6.1869,0.66667,,
541,0.0,1.0,,
542,0.0,1.0,,
543,0.0,1.0,,
544,5.99364,0.66667,,
545,0.0,1.0,,
546,0.0,1.0,,
547,0.0,1.0,,
548,0.0,1.0,,
549,0.0,1.0,,
550,0.0,1.0,,
551,0.0,1.0,,
552,0.0,1.0,,
553,0.0,1.0,,
554,8.84671,0.66667,,
555,7.88834,0.66667,,
556,8.00637,0.66667,,
557,0.0,1.0,,
558,6.53338,0.66667,,
559,0.0,1.0,,
560,0.0,1.0,,
561,0.0,1.0,,
562,3.85608,0.66667,,
563,0.0,1.0,,
564,0.00021,1.0,,
565,0.0,1.0,,
566,0.0,1.0,,
567,0.0,1.0,,
568,0.0,1.0,,
569,0.0,1.0,,
570,0.0,1.0,,
571,0.0,1.0,,
572,0.0,1.0,,
573,0.0,1.0,,
574,0.0,1.0,,
575,0.0,1.0,,
576,0.0,1.0,,
577,0.0,1.0,,
578,0.0,1.0,,
579,0.0,1.0,,
580,0.0,1.0,,
581,0.0,1.0,,
582,0.0,1.0,,
583,0.0,1.0,,
584,0.0,1.0,,
585,0.0,1.0,,
586,0.0,1.0,,
587,0.0,1.0,,
588,0.0,1.0,,
589,0.0,1.0,,
590,0.0,1.0,,
591,0.0,1.0,,
592,0.0,1.0,,
593,0.0,1.0,,
594,0.0,1.0,,
595,0.0,1.0,,
596,0.0,1.0,,
597,0.0,1.0,,
598,16.35321,0.66667,,
599,0.0,1.0,,
600,0.0,1.0,,
601,0.0,1.0,14.96469,0.66667
602,0.0,1.0,,
603,0.0,1.0,,
604,0.0,1.0,,
605,0.0,1.0,,
606,0.0,1.0,,
607,0.0,1.0,,
608,0.0,1.0,,
609,0.0,1.0,,
610,0.0,1.0,,
611,0.0,1.0,,
612,9.53108,0.66667,,
613,0.0,1.0,,
614,0.0,1.0,,
615,0.0,1.0,,
616,0.0,1.0,,
617,10.99709,0.66667,,
618,0.0,1.0,,
619,0.0,1.0,,
620,0.0,1.0,,
621,0.0,1.0,,
622,0.0,1.0,,
623,0.0,1.0,,
624,0.0,1.0,,
625,0.0,1.0,,
626,0.0,1.0,,
627,0.0,1.0,,
628,0.0,1.0,,
629,0.0,1.0,,
630,0.0,1.0,,
631,0.0,1.0,,
632,0.0,1.0,,
633,0.0,1.0,,
634,0.0,1.0,,
635,0.0,1.0,,
636,0.0,1.0,,
637,0.0,1.0,,
638,0.0,1.0,,
639,8.86038,0.66667,,
640,0.0,1.0,,
641,10.07339,0.66667,,
642,8.22834,0.66667,,
643,0.0,1.0,,
644,0.0,1.0,,
645,6.08812,0.66667,,
646,0.0,1.0,,
647,0.0,1.0,,
648,0.0,1.0,,
649,0.0,1.0,,
650,0.0,1.0,,
651,5.19526,0.66667,,
652,0.0,1.0,,
653,5.18025,0.66667,,
654,0.0,1.0,,
655,0.0,1.0,,
656,0.0,1.0,,
657,0.0,1.0,,
658,0.0,1.0,,
659,0.0,1.0,,
660,0.0,1.0,,
661,0.0,1.0,,
662,0.0,1.0,,
663,0.0,1.0,,
664,0.0,1.0,,
665,0.0,1.0,,
666,0.0,1.0,,
667,0.0,1.0,,
668,0.0,1.0,,
669,0.0,1.0,,
670,0.0,1.0,,
671,0.0,1.0,,
672,0.0,1.0,,
673,0.0,1.0,,
674,0.0,1.0,,
675,0.0,1.0,,
676,0.0,1.0,,
677,0.0,1.0,,
678,0.0,1.0,,
679,0.0,1.0,,
680,0.0,1.0,,
681,0.0,1.0,,
682,0.0,1.0,,
683,0.0,1.0,,
684,0.0,1.0,,
685,0.0,1.0,,
686,0.0,1.0,,
687,0.0,1.0,,
688,0.0,1.0,,
689,0.0,1.0,,
690,0.0,1.0,,
691,0.0,1.0,,
692,0.0,1.0,,
693,0.0,1.0,,
694,0.0,1.0,,
695,10.28776,0.66667,,
696,0.0,1.0,,
697,0.0,1.0,,
698,7.73248,0.66667,,
699,0.0,1.0,,
700,0.0,1.0,,
701,0.0,1.0,6.68727,0.66667
702,0.0,1.0,,
703,0.0,1.0,,
704,0.0,1.0,,
705,0.0,1.0,,
706,0.0,1.0,,
707,0.0,1.0,,
708,0.0,1.0,,
709,0.0,1.0,,
710,0.0,1.0,,
711,0.0,1.0,,
712,0.0,1.0,,
713,0.0,1.0,,
714,0.0,1.0,,
715,0.0,1.0,,
716,8.19156,0.66667,,
717,0.0,1.0,,
718,0.0,1.0,,
719,0.0,1.0,,
720,0.0,1.0,,
721,0.0,1.0,,
722,0.0,1.0,,
723,0.0,1.0,,
724,0.0,1.0,,
725,0.0,1.0,,
726,0.0,1.0,,
727,0.0,1.0,,
728,0.0,1.0,,
729,0.0,1.0,,
730,0.0,1.0,,
731,8.0387,0.66667,,
732,0.0,1.0,,
733,0.0,1.0,,
734,0.0,1.0,,
735,0.0,1.0,,
736,0.0,1.0,,
737,0.0,1.0,,
738,0.0,1.0,,
739,6.295,0.66667,,
740,5.04641,0.66667,,
741,0.0,1.0,,
742,0.0,1.0,,
743,0.0,1.0,,
744,0.0,1.0,,
745,0.0,1.0,,
746,0.0,1.0,,
747,0.0,1.0,,
748,4.71406,0.66667,,
749,0.0,1.0,,
750,0.0,1.0,,
751,0.0,1.0,,
752,5.66003,0.66667,,
753,0.0,1.0,,
754,0.0,1.0,,
755,0.0,1.0,,
756,0.0,1.0,,
757,0.0,1.0,,
758,0.0,1.0,,
759,5.21909,0.66667,,
760,0.0,1.0,,
761,0.0,1.0,,
762,0.0,1.0,,
763,0.0,1.0,,
764,0.0,1.0,,
765,0.0,1.0,,
766,0.0,1.0,,
767,0.0,1.0,,
768,0.0,1.0,,
769,0.0,1.0,,
770,0.0,1.0,,
771,0.0,1.0,,
772,0.0,1.0,,
773,0.0,1.0,,
774,0.0,1.0,,
775,0.0,1.0,,
776,0.0,1.0,,
777,0.0,1.0,,
778,0.0,1.0,,
779,0.0,1.0,,
780,0.0,1.0,,
781,0.0,1.0,,
782,7.75092,0.66667,,
783,6.87581,0.66667,,
784,0.0,1.0,,
785,0.0,1.0,,
786,0.0,1.0,,
787,0.0,1.0,,
788,0.0,1.0,,
789,0.0,1.0,,
790,0.0,1.0,,
791,0.0,1.0,,
792,0.0,1.0,,
793,0.0,1.0,,
794,0.0,1.0,,
795,0.0,1.0,,
796,0.0,1.0,,
797,0.0,1.0,,
798,0.0,1.0,,
799,0.0,1.0,,
800,0.0,1.0,,
801,0.0,1.0,10.73472,0.66667
802,10.69892,0.66667,,
803,0.0,1.0,,
804,0.0,1.0,,
805,7.15619,0.66667,,
806,0.0,1.0,,
807,0.0,1.0,,
808,8.16952,0.66667,,
809,6.65283,0.66667,,
810,0.0,1.0,,
811,0.0,1.0,,
812,4.09116,0.66667,,
813,0.0,1.0,,
814,0.0,1.0,,
815,0.0,1.0,,
816,0.0,1.0,,
817,0.0,1.0,,
818,0.0,1.0,,
819,0.0,1.0,,
820,0.0,1.0,,
821,0.0,1.0,,
822,0.0,1.0,,
823,0.0,1.0,,
824,0.0,1.0,,
825,9.64203,0.66667,,
826,11.68531,0.66667,,
827,0.0,1.0,,
828,0.0,1.0,,
829,0.0,1.0,,
830,0.0,1.0,,
831,0.0,1.0,,
832,0.0,1.0,,
833,0.0,1.0,,
834,0.0,1.0,,
835,0.0,1.0,,
836,0.0,1.0,,
837,0.0,1.0,,
838,0.0,1.0,,
839,0.0,1.0,,
840,0.0,1.0,,
841,0.0,1.0,,
842,0.0,1.0,,
843,0.0,1.0,,
844,0.0,1.0,,
845,0.0,1.0,,
846,0.0,1.0,,
847,0.0,1.0,,
848,10.3315,0.66667,,
849,0.0,1.0,,
850,0.0,1.0,,
851,0.0,1.0,,
852,0.0,1.0,,
853,0.0,1.0,,
854,0.0,1.0,,
855,0.0,1.0,,
856,0.0,1.0,,
857,0.0,1.0,,
858,0.0,1.0,,
859,0.0,1.0,,
860,0.0,1.0,,
861,0.0,1.0,,
862,0.0,1.0,,
863,0.0,1.0,,
864,0.0,1.0,,
865,0.0,1.0,,
866,0.0,1.0,,
867,0.0,1.0,,
868,0.0,1.0,,
869,0.0,1.0,,
870,0.0,1.0,,
871,0.0,1.0,,
872,0.0,1.0,,
873,0.0,1.0,,
874,0.0,1.0,,
875,0.0,1.0,,
876,0.0,1.0,,
877,0.0,1.0,,
878,6.86176,0.66667,,
879,0.0,1.0,,
880,0.0,1.0,,
881,0.0,1.0,,
882,0.0,1.0,,
883,0.0,1.0,,
884,5.65889,0.66667,,
885,0.0,1.0,,
886,0.0,1.0,,
887,0.0,1.0,,
888,0.0,1.0,,
889,0.0,1.0,,
890,0.0,1.0,,
891,0.0,1.0,,
892,0.0,1.0,,
893,0.0,1.0,,
894,0.0,1.0,,
895,0.0,1.0,,
896,0.0,1.0,,
897,0.0,1.0,,
898,0.0,1.0,,
899,0.0,1.0,,
900,0.0,1.0,,
901,0.0,1.0,-0.0,1.0
902,0.0,1.0,,
903,0.0,1.0,,
904,0.0,1.0,,
905,0.0,1.0,,
906,0.0,1.0,,
907,0.0,1.0,,
908,0.0,1.0,,
909,0.0,1.0,,
910,0.0,1.0,,
911,0.0,1.0,,
912,0.0,1.0,,
913,0.0,1.0,,
914,0.0,1.0,,
915,0.0,1.0,,
916,0.0,1.0,,
917,0.0,1.0,,
918,0.0,1.0,,
919,0.0,1.0,,
920,0.0,1.0,,
921,0.0,1.0,,
922,0.0,1.0,,
923,0.0,1.0,,
924,0.0,1.0,,
925,0.0,1.0,,
926,7.33763,0.66667,,
927,0.0,1.0,,
928,0.0,1.0,,
929,0.0,1.0,,
930,0.0,1.0,,
931,7.27831,0.66667,,
932,0.0,1.0,,
933,6.90347,0.66667,,
934,0.0,1.0,,
935,0.0,1.0,,
936,0.0,1.0,,
937,0.0,1.0,,
938,0.0,1.0,,
939,0.0,1.0,,
940,0.0,1.0,,
941,0.0,1.0,,
942,0.0,1.0,,
943,0.0,1.0,,
944,0.0,1.0,,
945,0.0,1.0,,
946,0.0,1.0,,
947,0.0,1.0,,
948,0.0,1.0,,
949,0.0,1.0,,
950,0.0,1.0,,
951,11.00897,0.66667,,
952,9.09264,0.66667,,
953,0.0,1.0,,
954,0.0,1.0,,
955,12.32548,0.66667,,
956,0.0,1.0,,
957,0.0,1.0,,
958,0.0,1.0,,
